SNP	BP
rs1	1028961
rs2	1031563
rs3	1038818
rs4	1079562
rs5	1087198
rs6	1119535
rs7	1120590
rs8	1145994
rs9	1148140
rs10	1155173
rs11	1185553
rs12	1186334
rs13	1188481
rs14	1201155
rs15	1206921
rs16	1207949
rs17	1232331
rs18	1286928
rs19	1287285
rs20	1323299
rs21	1355433
rs22	1401739
rs23	1457348
rs24	1468016
rs25	1488015
rs26	1490804
rs27	1500664
rs28	1653691
rs29	1678052
rs30	1682181
rs31	1711339
rs32	1712792
rs33	1736554
rs34	1748914
rs35	1767950
rs36	1773061
rs37	1783646
rs38	1794162
rs39	1802548
rs40	1813782
rs41	1819342
rs42	1861197
rs43	1878053
rs44	1893572
rs45	1920614
rs46	1938260
rs47	1962322
rs48	2013924
rs49	2017761
rs50	2023116
rs51	2030623
rs52	2030758
rs53	2037444
rs54	2051829
rs55	2059541
rs56	2064928
rs57	2067269
rs58	2071502
rs59	2072349
rs60	2072426
rs61	2094841
rs62	2095738
rs63	2146222
rs64	2157009
rs65	2174715
rs66	2176080
rs67	2179440
rs68	2195441
rs69	2213118
rs70	2217282
rs71	2219307
rs72	2241020
rs73	2247723
rs74	2259808
rs75	2261924
rs76	2271586
rs77	2273021
rs78	2273173
rs79	2273756
rs80	2275274
rs81	2276268
rs82	2289487
rs83	2292771
rs84	2293372
rs85	2297538
rs86	2298084
rs87	2298942
rs88	2310562
rs89	2315231
rs90	2316935
rs91	2317675
rs92	2319424
rs93	2319521
rs94	2353187
rs95	2359358
rs96	2382508
rs97	2387034
rs98	2408485
rs99	2408795
rs100	2420477
rs101	4896167
rs102	4898245
rs103	4901669
rs104	4901913
rs105	4902030
rs106	4902227
rs107	4902486
rs108	4902573
rs109	4903007
rs110	4905340
rs111	4905635
rs112	4907095
rs113	4910002
rs114	4910848
rs115	4911150
rs116	4911170
rs117	4911898
rs118	4911961
rs119	4912161
rs120	4912215
rs121	4915327
rs122	4917938
rs123	4921060
rs124	4922804
rs125	4923290
rs126	4923459
rs127	4924999
rs128	4930520
rs129	4931239
rs130	4931421
rs131	4935048
rs132	4937672
rs133	4937911
rs134	4938953
rs135	4939240
rs136	4942126
rs137	4946898
rs138	4948484
rs139	4948575
rs140	4948794
rs141	4951092
rs142	4951165
rs143	4951493
rs144	4951570
rs145	4955047
rs146	4955464
rs147	4961379
rs148	4962048
rs149	4963153
rs150	4964065
rs151	4965710
rs152	4968070
rs153	4968105
rs154	4972952
rs155	4973015
rs156	4976182
rs157	4977412
rs158	4978799
rs159	4980293
rs160	4980926
rs161	4988477
rs162	4988854
rs163	4990575
rs164	4993601
rs165	4994563
rs166	4997214
rs167	5002004
rs168	5011917
rs169	5014413
rs170	5020923
rs171	5022470
rs172	5027403
rs173	5034491
rs174	5037526
rs175	5040086
rs176	5041153
rs177	5041500
rs178	5043104
rs179	5044926
rs180	5045323
rs181	5045931
rs182	5048545
rs183	5050320
rs184	5051336
rs185	5052019
rs186	5056105
rs187	5057038
rs188	5070572
rs189	5073664
rs190	5079666
rs191	5083672
rs192	5083785
rs193	5088814
rs194	5092563
rs195	5092886
rs196	5092976
rs197	5093533
rs198	5094081
rs199	5095027
rs200	5095111
